time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.090151,0.319153
1.064994,0.090761,0.319342
1.069994,0.091123,0.319469
1.074994,0.091721,0.319660
1.079994,0.092157,0.319788
1.084995,0.092764,0.319981
1.089995,0.093108,0.320111
1.094995,0.093705,0.320306
1.099995,0.094074,0.320437
1.104996,0.095165,0.319302
1.109996,0.095291,0.319421
1.114996,0.095709,0.319600
1.119996,0.096003,0.319720
1.124997,0.096419,0.319901
1.129997,0.096682,0.320023
1.134997,0.097103,0.320206
1.139997,0.097395,0.320329
1.144997,0.097803,0.320513
1.149998,0.098067,0.320637
1.154998,0.098463,0.320824
1.159998,0.098700,0.320949
1.164998,0.099085,0.321138
1.169999,0.099317,0.321265
1.174999,0.099696,0.321455
1.179999,0.099923,0.321583
1.184999,0.100298,0.321776
1.190000,0.100360,0.321905
1.195000,0.100704,0.322099
1.200000,0.100916,0.322230
1.205000,0.099156,0.321092
1.210001,0.099667,0.321210
1.215001,0.100108,0.321390
1.220001,0.100402,0.321510
1.225001,0.100848,0.321691
1.230001,0.101222,0.321812
1.235002,0.101648,0.321995
1.240002,0.101889,0.322117
1.245002,0.102354,0.322302
1.250002,0.102671,0.322425
1.255003,0.103151,0.322612
1.260003,0.103525,0.322737
1.265003,0.104036,0.322925
1.270003,0.104248,0.323051
1.275004,0.104723,0.323241
1.280004,0.104965,0.323368
1.285004,0.105426,0.323560
1.290004,0.105692,0.323689
1.295004,0.106146,0.323883
1.300005,0.106411,0.324013
1.305005,0.092639,0.322873
1.310005,0.092574,0.322991
1.315005,0.092732,0.323170
1.320006,0.092896,0.323290
1.325006,0.093046,0.323471
1.330006,0.093206,0.323592
1.335006,0.093338,0.323774
1.340007,0.093453,0.323896
1.345007,0.093561,0.324080
1.350007,0.093637,0.324204
1.355007,0.093752,0.324390
1.360008,0.093862,0.324514
1.365008,0.093994,0.324702
1.370008,0.094159,0.324827
1.375008,0.094315,0.325017
1.380008,0.094482,0.325144
1.385009,0.094655,0.325335
1.390009,0.095051,0.325463
1.395009,0.095279,0.325656
1.400009,0.095576,0.325786
1.405010,0.079121,0.324645
1.410010,0.079091,0.324763
1.415010,0.079257,0.324942
1.420010,0.079454,0.325061
